# Structural comparison of ja/userGuide.t2t against ja/userGuide-newRevisions/13700/userGuide.t2t
en 3. start:72 paragraphs:6, tables:0, lists:0
ja 3. start:70 paragraphs:6, tables:0, lists:0
en 3.1. start:91 paragraphs:1, tables:0, lists:1
ja 3.1. start:89 paragraphs:1, tables:0, lists:1
en 3.2. start:100 paragraphs:2, tables:0, lists:0
ja 3.2. start:98 paragraphs:2, tables:0, lists:0
en 3.2.1. start:110 paragraphs:1, tables:0, lists:0
ja 3.2.1. start:108 paragraphs:1, tables:0, lists:0
en 3.2.2. start:114 paragraphs:1, tables:0, lists:0
ja 3.2.2. start:112 paragraphs:1, tables:0, lists:0
en 3.2.3. start:118 paragraphs:1, tables:0, lists:0
ja 3.2.3. start:116 paragraphs:1, tables:0, lists:0
en 3.3. start:123 paragraphs:2, tables:0, lists:0
ja 3.3. start:121 paragraphs:2, tables:0, lists:0
en 4. start:135 paragraphs:0, tables:0, lists:0
ja 4. start:133 paragraphs:0, tables:0, lists:0
en 4.1. start:137 paragraphs:6, tables:0, lists:0
ja 4.1. start:135 paragraphs:6, tables:0, lists:0
en 4.2. start:163 paragraphs:0, tables:0, lists:0
ja 4.2. start:161 paragraphs:0, tables:0, lists:0
en 4.2.1. start:165 paragraphs:3, tables:0, lists:0
ja 4.2.1. start:163 paragraphs:3, tables:0, lists:0
en 4.2.2. start:174 paragraphs:2, tables:0, lists:0
ja 4.2.2. start:172 paragraphs:2, tables:0, lists:0
en 4.3. start:182 paragraphs:1, tables:0, lists:0
ja 4.3. start:180 paragraphs:1, tables:0, lists:0
en 4.3.1. start:187 paragraphs:1, tables:0, lists:0
ja 4.3.1. start:185 paragraphs:1, tables:0, lists:0
en 4.3.2. start:192 paragraphs:7, tables:0, lists:0
ja 4.3.2. start:190 paragraphs:7, tables:0, lists:0
en 4.3.3. start:215 paragraphs:2, tables:0, lists:0
ja 4.3.3. start:213 paragraphs:2, tables:0, lists:0
en 4.4. start:226 paragraphs:2, tables:0, lists:0
ja 4.4. start:224 paragraphs:2, tables:0, lists:0
en 4.5. start:234 paragraphs:2, tables:0, lists:0
ja 4.5. start:232 paragraphs:2, tables:0, lists:0
en 4.6. start:242 paragraphs:0, tables:1, lists:0
ja 4.6. start:240 paragraphs:0, tables:1, lists:0
en 4.7. start:255 paragraphs:0, tables:1, lists:0
ja 4.7. start:253 paragraphs:0, tables:1, lists:0
en 5. start:263 paragraphs:1, tables:0, lists:0
ja 5. start:261 paragraphs:1, tables:0, lists:0
en 5.1. start:266 paragraphs:1, tables:0, lists:0
ja 5.1. start:264 paragraphs:1, tables:0, lists:0
en 5.2. start:270 paragraphs:3, tables:1, lists:0
ja 5.2. start:268 paragraphs:3, tables:1, lists:0
en 5.3. start:286 paragraphs:4, tables:2, lists:0
ja 5.3. start:284 paragraphs:4, tables:2, lists:0
en 5.4. start:311 paragraphs:7, tables:1, lists:0
ja 5.4. start:309 paragraphs:7, tables:1, lists:0
en 5.5. start:353 paragraphs:6, tables:2, lists:0
ja 5.5. start:351 paragraphs:6, tables:2, lists:0
en 5.6. start:395 paragraphs:2, tables:1, lists:0
ja 5.6. start:393 paragraphs:2, tables:1, lists:0
en 5.6.1. start:406 paragraphs:1, tables:0, lists:0
ja 5.6.1. start:404 paragraphs:1, tables:0, lists:0
en 5.6.2. start:411 paragraphs:3, tables:0, lists:0
ja 5.6.2. start:409 paragraphs:3, tables:0, lists:0
en 5.6.3. start:420 paragraphs:3, tables:0, lists:0
ja 5.6.3. start:418 paragraphs:3, tables:0, lists:0
en 5.7. start:429 paragraphs:5, tables:1, lists:0
ja 5.7. start:427 paragraphs:5, tables:1, lists:0
en 6. start:454 paragraphs:3, tables:1, lists:0
ja 6. start:452 paragraphs:3, tables:1, lists:0
en 6.1. start:484 paragraphs:4, tables:1, lists:1
ja 6.1. start:482 paragraphs:4, tables:1, lists:1
en 6.2. start:526 paragraphs:1, tables:1, lists:0
