# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:67 paragraphs:6, tables:0, lists:0

3.1. start:86 paragraphs:1, tables:0, lists:1

3.2. start:94 paragraphs:2, tables:0, lists:0

3.2.1. start:104 paragraphs:1, tables:0, lists:0

3.2.2. start:108 paragraphs:1, tables:0, lists:0

3.2.3. start:112 paragraphs:1, tables:0, lists:0

3.3. start:117 paragraphs:2, tables:0, lists:0

4. start:129 paragraphs:0, tables:0, lists:0

4.1. start:131 paragraphs:5, tables:0, lists:0

4.2. start:151 paragraphs:0, tables:0, lists:0

4.2.1. start:153 paragraphs:4, tables:0, lists:0

4.2.2. start:163 paragraphs:2, tables:0, lists:0

4.3. start:172 paragraphs:1, tables:0, lists:0

4.3.1. start:177 paragraphs:1, tables:0, lists:0

4.3.2. start:182 paragraphs:7, tables:0, lists:0

4.3.3. start:205 paragraphs:2, tables:0, lists:0

4.4. start:216 paragraphs:2, tables:0, lists:0

4.5. start:224 paragraphs:2, tables:0, lists:0

4.6. start:232 paragraphs:0, tables:1, lists:0

4.7. start:245 paragraphs:0, tables:1, lists:0

5. start:253 paragraphs:1, tables:0, lists:0

5.1. start:256 paragraphs:1, tables:0, lists:0

5.2. start:260 paragraphs:3, tables:1, lists:0

5.3. start:276 paragraphs:4, tables:2, lists:0

5.4. start:299 paragraphs:7, tables:1, lists:0

5.5. start:341 paragraphs:6, tables:2, lists:0

5.6. start:383 paragraphs:2, tables:1, lists:0

5.6.1. start:394 paragraphs:1, tables:0, lists:0

5.6.2. start:399 paragraphs:3, tables:0, lists:0

5.6.3. start:408 paragraphs:3, tables:0, lists:0

5.7. start:417 paragraphs:5, tables:1, lists:0

6. start:442 paragraphs:3, tables:1, lists:0

6.1. start:471 paragraphs:3, tables:1, lists:1

6.2. start:504 paragraphs:1, tables:1, lists:0

6.3. start:514 paragraphs:1, tables:1, lists:0

7. start:525 paragraphs:1, tables:0, lists:0

7.1. start:528 paragraphs:0, tables:1, lists:0

7.2. start:536 paragraphs:0, tables:1, lists:0

7.3. start:543 paragraphs:0, tables:1, lists:0

7.4. start:549 paragraphs:1, tables:1, lists:0

7.5. start:557 paragraphs:0, tables:1, lists:0

7.6. start:563 paragraphs:0, tables:1, lists:0

8. start:570 paragraphs:0, tables:0, lists:0

8.1. start:572 paragraphs:1, tables:0, lists:0

8.1.1. start:579 paragraphs:10, tables:0, lists:0

8.1.2. start:621 paragraphs:5, tables:0, lists:0

8.1.3. start:637 paragraphs:17, tables:0, lists:0

8.1.4. start:707 paragraphs:1, tables:1, lists:0

8.1.5. start:717 paragraphs:17, tables:0, lists:0

8.1.6. start:779 paragraphs:17, tables:0, lists:0

8.1.7. start:835 paragraphs:8, tables:0, lists:0

8.1.8. start:863 paragraphs:7, tables:0, lists:0

8.1.9. start:885 paragraphs:14, tables:0, lists:1

8.1.10. start:935 paragraphs:6, tables:0, lists:0

8.1.11. start:966 paragraphs:12, tables:0, lists:0

8.1.12. start:1008 paragraphs:6, tables:0, lists:1

8.1.13. start:1044 paragraphs:5, tables:0, lists:1

8.1.14. start:1072 paragraphs:3, tables:0, lists:0

8.1.15. start:1081 paragraphs:6, tables:0, lists:0

8.2. start:1100 paragraphs:3, tables:1, lists:0

8.3. start:1115 paragraphs:3, tables:0, lists:0

8.3.1. start:1126 paragraphs:4, tables:0, lists:1

8.3.2. start:1142 paragraphs:3, tables:0, lists:0

8.3.3. start:1154 paragraphs:1, tables:0, lists:0

8.3.4. start:1162 paragraphs:4, tables:0, lists:1

8.3.5. start:1175 paragraphs:2, tables:0, lists:0

